news_id,embargo_date,organisation_name,news_type,news_subject,news_summary
2022092900008,29/09/2022 09:55:00 AM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,Chailease Berjaya Credit Sdn Bhd,MARC RATINGS ASSIGNS PRELIMINARY RATING OF AA-(CG) TO CHAILEASE BERJAYA'S RM1.0 BILLION PROPOSED MTN PROGRAMME
2022092900001,29/09/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022092800025,28/09/2022 05:50:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Premium Commerce Berhad Notes Series 2016-A,RAM Ratings reaffirms AAA/Stable ratings of Premium Commerce's Notes Series 2016-A
2022092800023,28/09/2022 05:00:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,MISC BERHAD,MARC RATINGS WITHDRAWS RATING ON MISC'S IMTN PROGRAMME UPON EXPIRY
2022092800019,28/09/2022 04:45:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,OSK Rated Bond Sdn Bhd,MARC RATINGS AFFIRMS OSK UNIT'S SUKUK/MCMTN RATINGS WITH STABLE OUTLOOK
2022092800020,28/09/2022 04:38:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Deutsche Bank (Malaysia) Berhad,RAM Ratings reaffirms Deutsche Malaysia's AA1/Stable/P1 ratings
2022092800011,28/09/2022 01:51:00 PM,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,NEWS FROM MEMBERS,Swift Haulage Berhad (''Issuer''),Unrated Islamic Medium Term Notes (Sukuk Murabahah) Programme of up to RM500.0 million in nominal value (Sukuk Murabahah Programme)
2022092800009,28/09/2022 11:18:00 AM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,United Overseas Bank (Malaysia) Bhd,RAM Ratings reaffirms UOB Malaysia's AAA rating
2022092800001,28/09/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022042500019,27/09/2022 05:30:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Common Icon Sdn Bhd,"RM400.0 Million Medium Term Notes (""MTNs"") Programme"
2022092700034,27/09/2022 05:10:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Pengurusan Air Selangor Sdn Bhd,RAM Ratings reaffirms AAA/P1 ratings of Pengurusan Air Selangor's RM10 billion Sukuk Murabahah Programme
2022092700033,27/09/2022 05:00:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,AC FIRST GENESIS BERHAD (''ACFGB'' OR THE ''ISSUER''),RM3.0 BILLION SUKUK IJARAH PROGRAMME
2022092700009,27/09/2022 11:00:00 AM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,RHB Bank Berhad (the ''Issuer''),"Redemption of RM750.0 Million Subordinated Notes (Stock Code: UN170146) on its first Call Date, 27 September 2022"
2022092700013,27/09/2022 10:10:00 AM,CAGAMAS BERHAD,NEWS FROM MEMBERS,Cagamas Global P.L.C.,SGD 150.0 million Fixed Rate Senior Unsecured Notes
2022092700010,27/09/2022 09:50:00 AM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,Kapar Energy Ventures Sdn Bhd,MARC RATINGS REVISES KAPAR ENERGY VENTURES' RATING OUTLOOK TO STABLE
2022092500001,27/09/2022 09:30:00 AM,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,NEWS FROM MEMBERS,Cagamas Global P.L.C.,SGD 150.0 million Fixed Rate Senior Unsecured Notes
2022092700002,27/09/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022092700001,27/09/2022 07:38:00 AM,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,NEWS FROM MEMBERS,Mercedes-Benz Services Malaysia Sdn Bhd (''MBSM''),Medium Term Notes (''MTN'') Programme (''MTN Programme'') of a combined limit of up to RM3.0 billion in nominal value
2022092600030,26/09/2022 06:00:00 PM,ALLIANCE ISLAMIC BANK BHD,NEWS FROM MEMBERS,ALLIANCE ISLAMIC BANK BERHAD (''Alliance Islamic Bank'' or Issuer''),"Islamic Additional Tier 1 Sukuk Wakalah (""AT1 Sukuk Wakalah"") under a Perpetual Sukuk Progamme of up to a global limit of RM2.5 Billion in nominal value Profit Payment due on 29 Sep 2022"
2022092600034,26/09/2022 06:00:00 PM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,THP Suria Mekar Sdn Bhd (the ''Issuer''),Early Redemption of Sukuk Murabahah on 3 October 2022
2022092600021,26/09/2022 02:10:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,UEM SUNRISE BERHAD,MARC RATINGS AFFIRMS UEM SUNRISE'S RATINGS
2022092600009,26/09/2022 11:35:00 AM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,TRIPLC VENTURES SDN BHD (''ISSUER''),MEDIUM TERM NOTES (''MTN'') ISSUANCE PROGRAMME OF UP TO RM240.0 MILLION IN NOMINAL VALUE (''MTN PROGRAMME'') : RESULT FOR THE EXTRAORDINARY GENERAL MEETING
2022092600001,26/09/2022 10:00:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022092600002,26/09/2022 09:25:00 AM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,TNB WESTERN ENERGY BERHAD,MARC RATINGS AFFIRMS AAAIS RATING ON TNB WESTERN ENERGY'S SUKUK
2022092300028,23/09/2022 06:30:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Projek Smart Holdings Sdn Bhd (''Issuer''),Islamic Medium Term Notes Facility of up to RM250.0 Million in nominal value: Notice of Resolution of the Proposed Early Redemption.
2022042500016,23/09/2022 05:30:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,TRIplc Medical Sdn Bhd,"RM639.0 Million Senior Sukuk Murabahah (""Senior Sukuk"")"
2022092300018,23/09/2022 03:15:00 PM,KENANGA INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,MDSA Resources Sdn Bhd (''Issuer''),Medium Term Notes under a Medium Term Notes Programme of up to RM200.0 Million in Nominal Value (''MTN Programme'') - Early Partial Redemption of Tranche 1 Series 5 on 27 September 2022
2022092300017,23/09/2022 12:30:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Johor Port Berhad (''Issuer''),Unrated Islamic Medium Term Notes Programme of up to RM1.0 Billion in nominal value: Result of Sukukholders' Special Resolution in Writing
2022092300015,23/09/2022 11:10:00 AM,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,NEWS FROM MEMBERS,Exsim Capital Resources Berhad (''Issuer''),Unrated Islamic Commercial Papers (''Sukuk Murabahah'') Programme of up to RM1.0 billion based on the Shariah Principle of Murabahah (''Sukuk Murabahah Programme'')
2022092300007,23/09/2022 10:00:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022092200027,22/09/2022 08:20:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Dayang Enterprise Holdings Bhd (''Issuer''),"Unrated Sukuk Murabahah Programme of up to RM682,500,000.00 in Nominal Value : Sukukholder's Circular Resolution in Writing"
2022092200026,22/09/2022 05:19:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,IGB REIT Capital Sdn Bhd,IGB REIT Capital fully redeems RM1.20 bil First Tranche MTN via refinancing
2022092200018,22/09/2022 03:15:00 PM,KENANGA INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,MDSA Resources Sdn Bhd (''Issuer''),Medium Term Notes under a Medium Term Notes Programme of up to RM200.0 Million in Nominal Value (''MTN Programme'') - Extension of Maturity Date of Stock Code UE210319
2022092200001,22/09/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022042500015,21/09/2022 05:30:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,TRIplc Medical Sdn Bhd,"RM639.0 Million Senior Sukuk Murabahah (""Senior Sukuk"")"
2022092100009,21/09/2022 12:02:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Menara ABS Berhad,RAM Ratings downgrades ratings of Menara ABS's Tranche A Sukuk to C3
